Type of analysis,Method ,Aliases for the method or analysis,Task where it is applied,Is this process used in specific situations? State those situations.,"Definition – AMS, WMO, RoyalMetSoc",Colour,Meaning
Statistical analysis - Time series analysis,Difference Quantification,,Climate Change Quantification Application,,"The difference can be quantified either by absolute delta, relative delta (percentage change between the future climate and baseline relative to baseline, pre-processed similarly), or standardised anomaly calculation among other methods.
Absolute delta is the difference between the future climate and baseline of the variable. In both cases variables are annual climatological normals, i.e. averaged over the 30 years (Navarro-Racines et al., 2020).
Relative delta is the percentage change between the future climate and baseline relative to the baseline. As previously, the variables are annual climatological normals. [1]
The standardised anomalies, also referred to as normalised anomalies, measure the magnitude of climate change, at local level, by quantifying the distance, measured in standard units,
between a data value at a location and its corresponding mean. The metric is calculated by dividing anomalies – with anomalies being defined as the deviation observed in each time from a baseline – by the standard deviation of the interannual variability during the baseline period.
The Standardized local anomalies measure the degree of similarity and dissimilarity between two distinct time periods (e.g. between a baseline and future period) using the standardized Euclidean distance (SED). Higher SED scores correlate with more significant local climate change and incorporate alterations across all considered variables. [2,3]
[1] Navarro-Racines et al. (2020) https://doi.org/10.1038/s41597-019-0343-8
[2]Taheri et al. (2024) https://doi.org/10.1111/ecog.07176
[3]Hubbard et al. (2025) https://doi.org/10.1111/ecog.07614",,
Statistical analysis - Time series analysis,Trend analysis,,Climate Change Quantification Application,,"Given a time series of climate variable, the trend is the rate at which the variable changes over a time period. The trend may be linear or nonlinear. However, generally, it is synonymous with the linear slope of the line fit to the time series.
https://climatedataguide.ucar.edu/climate-data-tools-and-analysis/trend-analysis",,
Statistical analysis - Time series analysis,Temporal smoothing,"Filtering, smoothing",Data Preprocessing Application; Data postprocessing application; Impact analysis postprocessing,,"An averaging of data in time, designed to compensate for random errors or fluctuations of a scale smaller than that presumed significant to the problem at hand.
https://glossary.ametsoc.org/wiki/Smoothing",,
Statistical analysis - Time series analysis,Spectral analysis,,Climate Change Quantification Application,,"Spectral analysis is defined as a set of mathematical tools that characterise signals based on their frequency content [1]. Spectral analysis was initially developed to analyse time-dependent functions and time series, aiming to identify underlying spectral content. This typically involved identifying frequencies within the series that contain significant amplitudes. Nonparametric or parametric methods are applied to a time series, or to any sequential data with at least one independent variable such as spatial coordinates. The analysis separates out spectral content such as waves or oscillations, extracting data or filtering the data to simplify future processing [2].
[1] https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/spectral-analysis
[2] Silversides (2020). https://doi.org/10.1007/978-3-030-26050-7_309-1",,
Statistical analysis - Time series analysis,Return period analysis,"ARI, recurrence interval, average recurrence interval, return period, repeat interval",Climate Change Quantification Application,,"An estimate of the average time interval between occurrences of an event (e.g., flood or extreme rainfall) of (or below/above) a defined size or intensity. See also Return value. https://unterm.un.org/unterm2/en/search?searchTerm=return%20period&searchType=0&searchLanguages=en&languagesDisplay=en&acronymSearch=true&localDBSearch=true&termTitleSearch=true&phraseologySearch=false&footnoteSearch=false&fullTextSearch=false&facetedSearch=false&buildSubjectList=true",,
Statistical analysis - Time series analysis,Exceedance probability,"EP; variants for specific period (one year): annual exceedence probability, AEP",Climate Change Quantification Application,,"For any threshold, x, the probability that during the period (e.g., a year) the random variable in question, X, will exceed some x [1]. The inverse of the return period [2].
[1] https://glossary.ametsoc.org/wiki/Exceedance_probability
[2] https://thefloodhub.co.uk/blog/understanding-flood-risk/#:~:text=This%20method%20is%20useful%20because%20it%20helps%20people,the%20return%20period,%20and%20is%20expressed%20as%20%E2%80%98%AEP%E2%80%99.",,
Statistical analysis - Time series analysis,Frequency analysis,Cumulative frequency analysis,Climate Change Quantification Application,,"Procedure used to estimate the probabilities of occurrence of hydrometeorological events based on interpretation of past records of these events.
https://unterm.un.org/unterm2/en/view/722911fe-712e-482b-a881-f8a42f5967df",,
Statistical analysis - Spatial interpolation,,"Regridding, gap-filling [note for CNR: different applications!]",Data Preprocessing Application; Data postprocessing application; Impact analysis postprocessing,,"Used for regridding and gap-filling. 
Regridding is the process of interpolating from one grid resolution to a different grid resolution. This could involve temporal, vertical or spatial ('horizontal') interpolations. However, most commonly, regridding refers to spatial interpolation. There are numerous grid interpolation methods and users should choose the method appropriate for the intended task. Using an inappropriate interpolation scheme may lead to misleading results. Further, most climate grids are georeferenced on a sphere where pole singularities and the convergence of the longitude meridians can be issues that need to be addressed.
https://climatedataguide.ucar.edu/climate-tools/regridding-overview",,
Statistical analysis - Spatial interpolation,Bilinear,,Data Preprocessing Application; Data postprocessing application; Impact analysis postprocessing,,"A regridding method that uses a weighted average of the four nearest cells to determine a new cell value.
https://support.esri.com/en-us/gis-dictionary/bilinear-interpolation",,
Statistical analysis - Spatial interpolation,Nearest neighbour,,Data Preprocessing Application; Data postprocessing application; Impact analysis postprocessing,,"A regridding technique in which the new cell value is calculated using the value of the nearest cell. It is often used to resample categorical or integer data (for example, land use, soil, or forest type).
https://support.esri.com/en-us/gis-dictionary/nearest-neighbor-resampling (modified to remove references to raster processing)",,
Statistical analysis - Spatial interpolation,Inverse distance weighting,IDW,Data Preprocessing Application; Data postprocessing application; Impact analysis postprocessing,,"An interpolation method that assigns influence or weight values to spatial features relative to a specific point—often using a power function based on distance. Nearby features have greater weight or influence on the initial point than features that are farther away.
https://support.esri.com/en-us/gis-dictionary/inverse-distance-weighting",,
Statistical analysis - Thresholds,,Critical values,Index computation; Climate Change Quantification Application,,"Wikidata: Q3754024
https://www.wikidata.org/wiki/Q3754024",,
Statistical analysis - Thresholds,Peaks-over-threshold,POT,Climate Change Quantification Application,To identify extreme values for use in extreme value analysis,"Peaks-over-threshold analysis is used to obtain a sample defined by all peak
values that lie above a certain truncation level (usually called the threshold or base level). Together with block (typically annual) maxima, it is one of the methods to identify extreme values.
From Bezek at al. (2014) https://doi.org/10.1080/02626667.2013.831174",,
Statistical analysis - Thresholds,Threshold analysis,Thresholding,Index computation; Climate Change Quantification Application,"In cases like suitability classification. Might involve multiple thresholds and more complex logic.
For index computation: all indices where values exceed or are below the threshold (e.g., 1 mm, 303.15 K, etc.) as required by the inequality expression","Threshold analysis refers to the selection of all values that are higher or lower than a reference bound, based on a mathematical inequality. For climatic suitability studies, values must fall between two reference (i.e., threshold) values—an upper and a lower bound—to be deemed climatically suitable for each relevant variable. This selection creates a binary mask, which can be combined with other masks according to set theory.
My own definition, no source",,
Statistical analysis -Pattern matching,,,Model Simulation Evaluation; Climate Change Quantification Application,“downscaling” larger scale metrics to assess impacts data (case 1) or for categorisation of different conditions (case 2),"A weather pattern refers to a specific daily circulation type over a defined geographical domain. 
Weather patterns are matched based on their closest distance—defined as the area-weighted sum of squares difference at each grid point of model output.
Based on Neal et al. (2016) https://doi.org/10.1002/met.1563
Pope et al. (2022) https://doi.org/10.1007/s00382-021-06031-0",,
Statistical analysis - Pattern matching,Clustering,,Model Simulation Evaluation; Climate Change Quantification Application,,"(1) Clustering is performed to select representative simulations and thus reduce the number of members in a model ensemble (e.g. model culling). It can be accomplished by performing hierarchical cluster analysis on the patterns of climate change at a certain height k, which corresponds to the desired number of clusters.
Based on Mendlik & Gobiet (2015) https://doi.org/10.1007/s10584-015-1582-0 and
Wilcke & Bärring (2016) https://doi.org/10.1016/j.envsoft.2016.01.002
(2) Clustering (using nonhierarchical k-means clustering algorithm) is a method to derive weather patterns from observational data.
Pope et al. (2022) https://doi.org/10.1007/s00382-021-06031-0",,
Statistical analysis - Inferential Statistics,,,Climate Change Quantification Application,,"Inferential statistics refers to the branch of statistics that is used to draw conclusions and make decisions about a population based on samples, often through hypothesis testing. It helps determine whether the observed differences or relationships in the data are significant and not due to chance.
https://www.sciencedirect.com/topics/social-sciences/inferential-statistics",,
Statistical analysis - Inferential Statistics,Significance testing,"Statistical testing, statistical test, hypothesis testing, statistical hypothesis test",Climate Change Quantification Application,Usually used to check whether the result is showing a robust change (i.e. based on delta change analysis),"Significance testing is used to establish the robustness of simulated climate change driven by external forcing (the signal) relative to model internal variability (the noise). Signal in climate simulations is usually calculated as the difference between the average of a simulation with external forcing and a hypothesised value (in a one-sample test) or the average of a simulation with basis forcing (in a two-sample test). Noise in climate simulations refers to internal variability, and it is estimated from the variability information in the sample (or samples in case of a two-sample test). Decremer et al. (2014) https://doi.org/10.3402/tellusa.v66.23139",,
Statistical analyses - Transfer function,,,Climate Change Quantification Application; Impact analysis,,"Spatiotemporal modeling covers a broad spectrum of algorithms dealing with spatiotemporal data and a wide range of applications in many fields. The generic idea behind these modeling approaches is to analyse the temporal pattern of target variables within a spatial domain of interest.
Bhattacharjee et al. (2022) https://doi.org/10.1007/978-3-030-26050-7_418-1",,
Statistical analyses - Transfer function,Linear regression,,Climate Change Quantification Application; Impact analysis,,"Simple linear regression is used to estimate the relationship between two quantitative variables.
https://unterm.un.org/unterm2/en/view/8218159a-1d23-45b0-a108-fe6e49776f97 ",,
Statistical analyses - Transfer function,Quantile regression,,Climate Change Quantification Application; Impact analysis,Example: Haugen et al. (2019) https://doi.org/10.5194/ascmo-5-37-2019.,"Quantile regression is defined as a statistical technique that estimates the conditional quantiles of a response variable distribution, allowing for the modeling of the effects of predictor variables on different points (quantiles) of the response distribution rather than just the mean. It is particularly useful for identifying limiting constraints by examining upper regression quantiles, which can reveal relationships not detectable by traditional linear regression.
https://www.sciencedirect.com/topics/mathematics/quantile-regression",,
Statistical analyses - Uncertainty quantification,,,,,"Wikidata: Q7882499
https://www.wikidata.org/wiki/Q7882499",,
Statistical analyses - Uncertainty quantification,Cumulative Distribution Function,"CDF, theoretical cumulative probability, theoretical distribution function, cumulative probability distribution function",Uncertainty Quantification Application,When enough sample points available,"Not on UNterm
The cumulative distribution function (CDF) is the probability that a continuous random variable has a value less than or equal to a given value. The Probability Density Function (PDF) is the first derivative of the CDF. [1]
The CDF is useful for those who want to know the probability of climate change being less than some 
threshold where an impact of interest starts to occur. [2]
[1] https://confluence.ecmwf.int/display/FUG/Section+8.1.9.1+Cumulative+Distribution+Function,+Probability+Density+Function
[2] https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/research/ukcp/ukcp18-guidance---how-to-use-the-cdf-and-pdf-plots.pdf",,
Statistical analyses - Uncertainty quantification,Probability Density Function,PDF,Uncertainty Quantification Application,When enough sample points available,"A probability density function (PDF) is a function that indicates the relative chances of occurrence of different outcomes of a variable. The function integrates to unity over the domain for which it is defined and has the property that the integral over a sub-domain equals the probability that the outcome of the variable lies within that sub-domain. For example, the probability that a temperature anomaly defined in a particular way is greater than zero is obtained from its PDF by integrating the PDF over all possible temperature anomalies greater than zero. Probability density functions that describe two or more variables simultaneously are similarly defined.
https://unterm.un.org/unterm2/en/view/9f18f708-7341-44e9-96f8-d29d49ba2cdb",,
Statistical analyses - Uncertainty quantification,Empirical Distribution Function [notes for CNR: possibly a sub-method for CDF?],"ECDF, EDF, empirical cumulative distribution function",Uncertainty Quantification Application,When enough sample points available,"The empirical cumulative distribution function (ECDF) is a step function estimate of the CDF of the distribution underlying a sample.
https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ecdf.html",,
Statistical analysis - Uncertainty quantification,Extreme value distribution,"Variants: Generalised extreme value distribution, GEV, GEV distribution; Generalised Pareto Distribution, GPD, GP distribution",Uncertainty Quantification Application,,"Probability distribution of the largest or smallest observations in a sample.
https://unterm.un.org/unterm2/en/view/1f90fcbf-c795-4d8a-9f78-21673465c159",,
